artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
olivia belli,ambro,5kU2kYLFu3uNDBlmjvvNxg,https://open.spotify.com/artist/3JU9NLB27wyGhbwbApR9uy,https://open.spotify.com/track/5kU2kYLFu3uNDBlmjvvNxg,classical,0.351,0.0543,7,-32.167,1,0.0357,0.995,0.819,0.0936,0.143,151.135,165848
luke faulkner,clocks,6dfdNTuLOK8eFusN8HaQg8,https://open.spotify.com/artist/2KTBCTcRbjSO03qPsUeqq3,https://open.spotify.com/track/6dfdNTuLOK8eFusN8HaQg8,classical,0.353,0.075,10,-25.635,0,0.0379,0.995,0.886,0.117,0.317,120.308,169750
ralph vaughan williams,the lark ascending,2kAgCRZPG3YQR2VMqRvLmb,https://open.spotify.com/artist/7wNkISK49lKeXuRaZcQVFe,https://open.spotify.com/track/2kAgCRZPG3YQR2VMqRvLmb,classical,0.0811,0.0122,4,-32.654,0,0.0511,0.902,0.308,0.0648,0.0384,74.554,935360
elskavon,soft night,5hAsWMGQXBjDjYMoIlP9Ak,https://open.spotify.com/artist/5vDfVxwAH8ANpuIKKxfOeq,https://open.spotify.com/track/5hAsWMGQXBjDjYMoIlP9Ak,classical,0.249,0.00248,2,-30.501,1,0.036,0.994,0.931,0.118,0.0788,73.601,155250
ana olgica,sugarcane,6uWjjaiquXsjuQuks2mZME,https://open.spotify.com/artist/29nLvGubwGVV9I4kF3nldc,https://open.spotify.com/track/6uWjjaiquXsjuQuks2mZME,classical,0.361,0.0165,0,-27.874,1,0.0615,0.995,0.967,0.0834,0.452,114.346,144500
ludovico einaudi,fairytale,7iuqXwZPwizw2CHpoopHJb,https://open.spotify.com/artist/2uFUBdaVGtyMqckSeCl0Qj,https://open.spotify.com/track/7iuqXwZPwizw2CHpoopHJb,classical,0.558,0.0073,9,-31.71,1,0.055,0.995,0.955,0.0941,0.222,67.57,270429
ludovico einaudi,nuvole bianche,0jyzkQqxc3nWqPRqEJwGpn,https://open.spotify.com/artist/2uFUBdaVGtyMqckSeCl0Qj,https://open.spotify.com/track/0jyzkQqxc3nWqPRqEJwGpn,classical,0.407,0.194,8,-21.439,1,0.058,0.992,0.918,0.0975,0.0375,112.654,386990
ludovico einaudi,seven days walking / day 1: ascent,0NgNklnTTdTNA9vfluq7mG,https://open.spotify.com/artist/2uFUBdaVGtyMqckSeCl0Qj,https://open.spotify.com/track/0NgNklnTTdTNA9vfluq7mG,classical,0.232,0.0592,7,-23.594,1,0.0442,0.989,0.941,0.0906,0.102,90.083,337372
ludovico einaudi,i giorni,1ngewua15ybZrP1068Hxse,https://open.spotify.com/artist/2uFUBdaVGtyMqckSeCl0Qj,https://open.spotify.com/track/1ngewua15ybZrP1068Hxse,classical,0.458,0.119,2,-23.452,1,0.0542,0.989,0.91,0.0935,0.0714,114.552,418538
george frideric handel,"handel / orch. hale: keyboard suite in d minor, hwv 437: iii. sarabande",1upQiytDIEZfl9ItruoXuC,https://open.spotify.com/artist/1QL7yTHrdahRMpvNtn6rI2,https://open.spotify.com/track/1upQiytDIEZfl9ItruoXuC,classical,0.204,0.0331,2,-24.044,0,0.0487,0.927,0.825,0.0954,0.0547,116.2,207267
